Position,Date Posted,Application Due,Position Type,Number of Openings,Location,Targeted Academic Majors,Hiring Status,Job Function,Payment Type and Range,Hours Per Week,Workplace Type,Transportation,Work Authorization,Additional Documents,Desired Skills,Description,Bouve College of Health Sciences,College of Engineering,"College of Arts, Media & Design",College of Science,College of Social Science & Humanities,D'Amore-McKim School of Business,Khoury College of Computer Sciences
Co-op Cell Biology,"Oct 19, 2020","Dec 31, 2020",Co-op,1,"Cambridge, Massachusetts United States","College of Engineering/Chemical Engineering, College of Engineering/Bioengineering, College of Science/Cell and Molecular Biology, College of Science/Biology",Available,Research,Hourly,Full Time (32+ Hours Per Week),Primarily on-site work,,,,,"Generation Bio seeks an energetic and highly motivated scientist to join the Cell Biology team and perform research to support the development of cell-based assays to evaluate disease related biological parameters for our gene therapy vectors. For this lab-based position, the successful candidate will work closely with other scientists in the group to design and perform assays that measure relevant aspects of our novel non-viral gene therapy platform (ceDNA).RESPONSIBILITIES:QUALIFICATIONS:",No,Yes,No,Yes,No,No,No
Engineering co-op,"Sep 09, 2020","Dec 31, 2020",Co-op,1,"Elk Grove Village, Illinois United States","College of Engineering/Mechanical Engineering, College of Engineering/Industrial Engineering",Available,Engineering - Other,Unspecified,Full Time (32+ Hours Per Week),Primarily on-site work,,"United States Citizen, Legal Permanent Resident of US",,,,No,Yes,No,No,No,No,No
Global RFP Team Co-Op,"Oct 06, 2020","Dec 31, 2020",Co-op,1,"Boston, Massachusetts United States",D'Amore-McKim School of Business,Available,Operations,Unspecified,Full Time (32+ Hours Per Week),Primarily remote work,Accessible by public transportation,,,,"In this exciting and visible role, you will work with and contribute to the efforts of the Global RFP Team located in seven countries across the globe. You will liaise with most departments across the firm such as investments and product as well as our global offices to help raise assets and retain existing client assets. Requests for Proposals (RFPs) come from prospective investors looking to allocate large sums for the firm to manage and this team is the key coordinator for these deals.",No,No,No,No,No,Yes,No
LEAN Fabrication Co-op Water Spider,"Oct 08, 2020","Dec 18, 2020",Co-op,1,"Avon, Massachusetts United States","College of Engineering/Mechanical Engineering, College of Engineering/Industrial Engineering",Available,Engineering - Other,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),On-site work is preferred when public health concerns allow,Car required for commute,,,,This roletargets first-time co-op students.,No,Yes,No,No,No,No,No
Web/Mobile Product Design Co-op (Buoy Local),"Oct 20, 2020","Nov 30, 2020",Co-op,1,"Bangor, Maine United States","College of Arts, Media & Design, D'Amore-McKim School of Business, Khoury College of Computer Sciences",Available,Software Development,Hourly/$23 to $29 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Car required for commute,,,"C#, Android Studio, Mobile Applications","Please note that this position is based on Maine. Candidate must live in Maine during the co-op, with preference forthe Bangor area.",No,No,Yes,No,No,Yes,Yes
Medical Assistant,"Oct 06, 2020","Feb 17, 2021",Co-op,2,"Needham and Backbay, Massachusetts United States",Bouve College of Health Sciences/Health Science,Available,Healthcare - Health Sciences,Hourly/$11 to $17 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,,,,,,Yes,No,No,No,No,No,No
Billing Assistant,"Sep 28, 2020","Dec 31, 2020",Co-op,1,"Boston, Massachusetts United States",D'Amore-McKim School of Business,Available,Other,Unspecified,Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,,,,No,No,No,No,No,Yes,No
Product Design Co-op,"Sep 21, 2020","Dec 31, 2020",Co-op,1,"Boston, Massachusetts United States",College of Engineering/Mechanical Engineering,Available,Engineering Design,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,"Cover Letter, Portfolio",,,No,Yes,No,No,No,No,No
2021 Biologics Co-Op Process Engineering,"Sep 30, 2020","Nov 30, 2020",Co-op,1,"Framingham, Massachusetts United States","College of Engineering/Mechanical Engineering, College of Engineering/Electrical Engineering, College of Engineering/Computer System Engineering, College of Engineering/Chemical Engineering",Available,Engineering - Other,Unspecified,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",,,Cover Letter,,"Description:Prospective students to work closely with engineers and the compliance team to help solve manufacturing, equipment and facility related issues in a highly regulated cGMP environment. Student to support the biologics business unit ensuring continued delivery of high quality products to patients.Responsibilities: :Basic Qualifications:Preferred Qualifications:At Sanofi diversity and inclusion is foundational to how we operate and embedded in our Core Values. We recognize to truly tap into the richness diversity brings we must lead with inclusion and have a workplace where those differences can thrive and be leveraged to empower the lives of our colleagues, patients and customers. We respect and celebrate the diversity of our people, their backgrounds and experiences and provide equal opportunity for all.",No,Yes,No,No,No,No,No
"Assistant Teacher, Baker School","Sep 05, 2020","Dec 05, 2020",Co-op,1,"Chestnut Hill, Massachusetts United States","College of Science/Psychology, College of Science/Physics, College of Science/Mathematics, College of Science/Linguistics, College of Science/Biology, College of Social Science & Humanities/Sociology, College of Social Science & Humanities/Political Science, College of Social Science & Humanities/Philosophy, College of Social Science & Humanities/International Affairs, College of Social Science & Humanities/Human Services, College of Social Science & Humanities/History, College of Social Science & Humanities/English",Available,Education / Teaching,Hourly/$11 to $17 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,,,,,Important Job InformationPlease see full job description below.[ X] Background check/CORI,No,No,No,Yes,Yes,No,No
Quality Management Co-op,"Nov 04, 2020","Jan 29, 2021",Co-op,1,"Creve Coeur, Missouri United States","College of Engineering/Industrial Engineering, College of Engineering/Computer System Engineering, College of Engineering/Computer Engineering, Khoury College of Computer Sciences",Available,Information Technology,Hourly,Full Time (32+ Hours Per Week),On-site work is preferred when public health concerns allow,,,,,"YOUR TASKS AND RESPONSIBILITIESThe primary responsibilities of this role, Enterprise resource planning Quality Management Co Op, are to:WHO YOU AREYour success will be driven by your demonstration of our LIFE values. More specifically related to this position, Bayer seeks an incumbent who possesses the following:Required Qualifications:Preferred Qualifications:Bayer is an Equal Opportunity Employer/Disabled/Veterans",No,Yes,No,No,No,No,Yes
Pharmacy Intern - Institutional,"Aug 07, 2020","Dec 31, 2020",Co-op,1,"Jamaica Plain, Massachusetts United States",Bouve College of Health Sciences/Pharmacy,Available,Healthcare - Health Sciences,Hourly/$11 to $17 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Primarily on-site work",Accessible by public transportation,,,"positive attitude, selfmotivation, Always Willing to Learn, Collaborative Working, Strong Attention to Detail",,Yes,No,No,No,No,No,No
Chemical Engineering Co-Op ,"Oct 07, 2020","Dec 28, 2020",Co-op,1,"Billerica, Massachusetts United States","College of Engineering/Chemical Engineering, College of Science/Chemistry",Available,Engineering - Other,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Primarily on-site work",,,,,"The RoleWe are excited to bring eager, talented students on board and provide them with an unparalleled co-op experience. The Entegris Co-op Program consists of real work experience, cross-functional learning and development opportunities, and a variety of social and volunteering events.The prospective co-op will help Entegris in developing novel polysulfone-type membranes for Dilute WEC application. The development involves optimizing the properties of membranes by trying new membrane formulations and membrane processing conditions followed by characterization of the developed membranes. The co-op will greatly benefit from this program by learning about the fundamentals of membrane formation, which involves major chemical engineering disciplines including transport phenomena, thermodynamics and reaction engineering. The prospective co-op will also learn how to think rationally toward solving a problem as well as how to carry out a systematic research.In this role you will:Traits we believe make a strong candidate:What we offer:At Entegris we are committed to providing equal opportunity to all employees and applicants. Our policy is to recruit, hire, train, and reward employees for their individual abilities, achievements and experience without regard to race, color, religion, sexual orientation, age, national origin, disability, marital or military status.",No,Yes,No,Yes,No,No,No
Automation Design Co-op,"Sep 24, 2020","Dec 31, 2020",Co-op,1,"Marlborough, Massachusetts United States",College of Engineering/Mechanical Engineering,Available,Research & Development,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),"Remote work is permitted at any time, Primarily on-site work",Car required for commute,,,"Machine Design, Processes Development, Solidworks, Machine Shop Experience, Prototyping, Troubleshooting",,No,Yes,No,No,No,No,No
Loan Servicing Specialist,"Sep 22, 2020","Jan 04, 2021",Co-op,1,"Boston, Massachusetts United States","College of Social Science & Humanities/Economics, D'Amore-McKim School of Business",Available,Finance - Investment Operations,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,,"Outstanding time management skills, Ability to complete multiple projects, Microsoft Office, Multitasking, Close Attention to Detail, Works well in a team, MS Excel",,No,No,No,No,Yes,Yes,No
Pharmacy Intern - Community - Jamaica Plain,"Aug 07, 2020","Dec 31, 2020",Co-op,2,"Boston, Massachusetts United States",Bouve College of Health Sciences/Pharmacy,Available,Healthcare - Health Sciences,Hourly/$11 to $17 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,Authorized to work in the U.S.,,,,Yes,No,No,No,No,No,No
Business Continuity Co-Op,"Oct 14, 2020","Dec 31, 2020",Co-op,1,"Waltham, Massachusetts United States",D'Amore-McKim School of Business,Available,Finance - Business Analysis,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Primarily remote work",,,,,,No,No,No,No,No,Yes,No
New Product Development ME Coop,"Oct 07, 2020","Jan 01, 2021",Co-op,1,"Holliston, Massachusetts United States","College of Engineering, College of Engineering/Mechanical Engineering, College of Engineering/Bioengineering",Available,Engineering - Other,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Car required for commute,,,,"Reverse commute from Boston (40 mins).The ideal candidate would be a 2nd or 3rd co-op pursuing a BSME. The position involves working in a small multi-disciplined engineering group to aid in new product development.· aid in new product development and existing product enhancement· design, build and test/debug prototype components and systems· design and build test and assembly fixturesWhy should you consider this co-op? Testimonial from a recent co-op:",No,Yes,No,No,No,No,No
Pharmacy Intern - Institutional,"Aug 06, 2020","Dec 31, 2020",Co-op,2,"Beverly, Massachusetts United States",Bouve College of Health Sciences/Pharmacy,Available,Healthcare - Health Sciences,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Car required for job function,,,,"Job Description: Under the direct supervision of a pharmacist the pharmacy intern:1. Runs reports and fills inpatient cassettes2. Prepares intravenous medications using proper sterile technique3. Manufactures and compounds pharmaceutical products4. Requisitions and replenishes stock medications5. Maintains any automated floor stock medication systems - Pyxsis , Meditech6. Performs various quality control tasks7. Enters medication orders into pharmacy computer system8. Answers telephone and refers callsQualifications: Good communication skills, availability to work various shifts , some rotation to holidays and weekends",Yes,No,No,No,No,No,No
Electrical Engineer - Consumer Product Testing and Analysis,"Oct 05, 2020","Jan 29, 2021",Co-op,1,"Needham, Massachusetts United States",College of Engineering/Electrical Engineering,Available,Engineering - Other,Hourly/$23 to $29 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,,,,No,Yes,No,No,No,No,No
"Technical Projects, Applications, and Service (Spring 2021)","Sep 15, 2020","Jan 08, 2021",Co-op,3,"Palo Alto, California United States","College of Engineering, College of Science/Physics, Khoury College of Computer Sciences/Computer Science",Available,Engineering - Other,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work",,,,"Python, Project Engineering, CAD, Sales Engineering, PSCAD, SQL, Application Engineering","*On-site preferred but remote possible when public health concern warrant*As you continue to discover your passion and strengths in navigating your career path, you can be part of one of our internship programs within the following Energy Projects Engineering teams:GeneralRequirements",No,Yes,No,Yes,No,No,Yes
Junior Developer,"Oct 13, 2020","Jan 22, 2021",Co-op,2,"Herndon, Virginia United States",Khoury College of Computer Sciences,Available,Other,Unspecified,Full Time (32+ Hours Per Week),Primarily on-site work,,,,,,No,No,No,No,No,No,Yes
"Co-Op, Training & Development (Remote Position)","Sep 25, 2020","Nov 19, 2020",Co-op,1,"Cambridge, Massachusetts United States","College of Arts, Media & Design/Media Arts, College of Science/Psychology, College of Social Science & Humanities/Sociology, College of Social Science & Humanities/English, D'Amore-McKim School of Business, D'Amore-McKim School of Business/Management Information Systems, D'Amore-McKim School of Business/Marketing, D'Amore-McKim School of Business/Business Administration",Available,Information Technology,Hourly,Full Time (32+ Hours Per Week),Exclusively remote (no physical office),Accessible by public transportation,,,,,No,No,Yes,Yes,Yes,Yes,No
Editorial Intern,"Oct 13, 2020","Dec 18, 2020",Co-op,1,"Boston, Massachusetts United States","College of Arts, Media & Design/Journalism",Available,Other,Unpaid,Half Time (16-31 Hours Per Week),"Remote work is permitted when public health concerns dictate, Primarily remote work",Accessible by public transportation,,,,,No,No,Yes,No,No,No,No
Intern Power System Engineer,"Sep 23, 2020","Jan 01, 2021",Co-op,1,"Falmouth, Maine United States","College of Engineering, College of Engineering/Electrical Engineering",Available,Engineering - Other,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Primarily on-site work","Car required for commute, Full Time (32+ Hours Per Week)",,,,"General Description of Position:Under immediate supervision of the Manager or other designated professional power system engineer, this position assists power system engineers with analysis and study work. The incumbent must be competent to assist in power system database manipulation and capable to learn and understand basic power system calculation methodologies, terminologies, and techniques.Essential Functions of Position:Position Requirements:",No,Yes,No,No,No,No,No
Water Risk Co-Op ,"Sep 29, 2020","Jan 04, 2021",Co-op,1,"Boston, Massachusetts United States",College of Social Science & Humanities,Available,Environmental Services,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,,"Cover Letter, Work Sample",,"OrganizationCeres is a sustainability nonprofit organization leading the most influential investors and companies to build leadership and drive solutions throughout the economy. Through our powerful networks and advocacy, we tackle the world’s biggest sustainability challenges, including climate change, water scarcity and pollution, and human rights abuses. For more information about Ceres, please visit our website (www.ceres.org).Ceres works with companies, investors, water providers, policymakers, environmental organizations and other stakeholders to improve water management and increase reporting on water issues that pose risks to businesses, communities and the environment. The Water Program is seeking an intern/co-op to help us advance our work on analyzing and addressing water risks related to two pillars: the food and agricultural sector and the investment community.Support the Investor Water Risk initiative by:Other general water-related research and logistical support to support the Water Program such as:Desired Background:For more information, see Ceres’ Water Program: https://www.ceres.org/our-work/water",No,No,No,No,Yes,No,No
Mechanical Engineer Internship,"Oct 21, 2020","Dec 18, 2020",Co-op,1,"Pittsburgh, Pennsylvania United States",College of Engineering/Mechanical Engineering,Available,Robotics,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Primarily on-site work",,,,,"You must apply on the company's site as outlined below to be considered.Carnegie Robotics seeks outstanding students for our internships and co-ops. We view internships as excellent opportunities for us to learn about future potential full-time hires while also contributing to students' education and their understanding of work practices in an engineering setting. Many of our interns return annually and take on ever more challenging tasks.We accept college sophomore, junior, senior, masters and PhD level students. In all cases we expect to see excellent grades, work ethic and a strong desire to accomplish goals. We pay well and will push you well beyond your comfort zone.Application Process:For the spring internship click here:https://carnegierobotics.applytojob.com/apply/VXKaKzbvVD/Spring-Mechanical-Engineer-InternshipFor the summer internship click here:https://carnegierobotics.applytojob.com/apply/LPIYss9mKS/2021-Mechanical-Engineer-InternshipMechanical Engineering Interns will be treated as junior engineers on development teams and will assist and work on the following aspects of development projects:Carnegie Robotics is an Equal Opportunity Employer that welcomes applications from all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, marital status, or status as a covered veteran in accordance with applicable laws and Carnegie Robotics’ employment policies.",No,Yes,No,No,No,No,No
NGO Management internship with music charity in Uganda,"Oct 05, 2020","Dec 31, 2020",Co-op,1,Mbarara Uganda,"College of Arts, Media & Design/Music, College of Arts, Media & Design/Communication Studies, College of Professional Studies/Project Management, College of Professional Studies/Nonprofit Management, College of Professional Studies/Global Studies and International Relations, College of Professional Studies/Corporate & Org Communication, College of Social Science & Humanities/Sociology, College of Social Science & Humanities/Public Policy & Administration, College of Social Science & Humanities/Political Science, College of Social Science & Humanities/International Affairs, College of Social Science & Humanities/Human Services, College of Social Science & Humanities/Cultural Anthropology, College of Social Science & Humanities/Africana Studies, D'Amore-McKim School of Business/Marketing, D'Amore-McKim School of Business/Management, D'Amore-McKim School of Business/Business Administration",Available,Social / Human Services,Unpaid/Unpaid,Full Time (32+ Hours Per Week),Primarily on-site work,,,Cover Letter,"Strong writing skills and fluency in English, An ability to work very independently, A flexible and resourceful approach, A strong desire to learn a great deal!, A passion for the work the Living Music Foundation is doing, Strong Communication skills","ENJOY A TRULY UNIQUE WORK EXPERIENCE AS A CHARITY DEVELOPMENT INTERN IN UGANDA!You’ll be part of a nonprofit organization that teaches music lessons to kids who wouldn’t be able to afford musical instruments. The charity thoroughly believes that through music lessons, kids learn valuable life lessons, and gain a huge amount of motivation and inspiration.As an intern, you’ll help with the overall development of this nonprofit initiative. This will involve exploring a variety of fundraising opportunities, helping design and implement a communications strategy, and putting systems in place for monitoring and evaluation. It’s a hugely varied and rewarding work experience. You’ll be guided by a digital marketing and fundraising expert based in South Africa, who will check in with you regularly.Not unimportantly, you’ll get to live in Uganda; a stunning and welcoming country that offers a wealth of travel opportunities.To qualify for this internship in Uganda, you’ll need to have a self-starter and flexible attitude, a passion for nonprofit work, and an ability to take on a great variety of tasks.Your TasksAs an intern, you’ll help to raise the profile of the Living Music Foundation in a number of ways. Your tasks will include;Good to knowThe Living Music Foundation, founded in 2017, is an NGO based in Mbarara, Uganda. Their passion is music, and having seen the transformative impact that the performing arts can have on children in developing countries (and around the world), they have devoted their work to sharing this gift. The founders of the Living Music Foundation believe that exposure to music can provide children with many positive life skills, including commitment and discipline. It also builds character and helps develop self-esteem.Their main goal is to provide music lessons for children who are economically or socially challenged. By offering music lessons free of charge, they provide an outlet for kids who are lacking family or community support. The lessons take place either in their Mbarara centre as well as in the home communities of the children. Music is meant to be shared, and once the children develop their skills, they are able to share their talent with their communities, creating a happy and uplifting atmosphere for everyone.",No,No,Yes,No,Yes,Yes,No
Finance - Data Analytics - Accounting Co-ops - Summer 2021,"Oct 02, 2020","Dec 31, 2020",Co-op,20,"Waltham, Massachusetts United States","College of Engineering/Information Systems, College of Engineering/Engineering Management, College of Professional Studies/Finance and Accounting Management, D'Amore-McKim School of Business/Marketing, D'Amore-McKim School of Business/Finance",Available,Finance - Other,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,Authorized to work in the U.S.,,,"Summer 2021Start Date: May 2021**By applying direct and applying through NU Careers, you will be considered for over 15 locations. You will find this out prior to interview to determine if the location suits your needs.When applying direct, please indicate that you have the required number of credits (you will have the required # by the start date).",No,Yes,No,No,No,Yes,No
Device|Client Support Analyst,"Aug 13, 2020","Dec 31, 2020",Co-op,1,"Cambridge, Massachusetts United States","College of Engineering, College of Professional Studies, College of Science, College of Social Science & Humanities, D'Amore-McKim School of Business, Khoury College of Computer Sciences",Available,Other,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),"Remote work is permitted at any time, Primarily on-site work, Primarily remote work",Accessible by public transportation,,,"Linux, Analytical Skills","Description- Learn about our innovative Sense home energy monitoring hardware and software in-depth.- Client and Operations Support - majority of time will be spent on customer support assisting our customer with technical support.- Work with customers, our Engineering team, and your Support teammates to help diagnose and resolve any problems.- Respond to email support inquiries from customers.- Develop Knowledge Base articles to address customer issues.- Analyze and report on trends related to customer questions.- Take ownership of assigned tasks with the appropriate level of urgency in seeing them get resolved.- Excellent verbal and written communication skills.- Strong analytical and troubleshooting skills.- Able to balance business priorities with customer priorities.- Proactive, collaborative, creative, energetic, passionate about building a great product and providing excellent customer service.- Quick learner, inquisitive, intellectually curious, strong attention to detail.- Basic programming experience and/or Linux familiarity a plus, but not required.- Must be a recent college graduate or currently enrolled in a four-year degree program.- Full-time availability (6-Months)Company Culture- Team Oriented- Remote position- Flexible hours - No weekends!- Startup culture",No,Yes,No,Yes,Yes,Yes,Yes
Mechanical Engineer Co-op (Tong),"Oct 05, 2020","Dec 31, 2020",Co-op,2,"Waltham, Massachusetts United States",College of Engineering/Mechanical Engineering,Available,Engineering - Other,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Primarily on-site work","Accessible by public transportation, Car required for job function","United States Citizen, Legal Permanent Resident of US",,,Company,No,Yes,No,No,No,No,No
(GLOBAL) Apple Co-ops,"Sep 18, 2020","Dec 31, 2020",Co-op,5,"Nationwide,China",College of Engineering,Available,Engineering - Other,Unspecified,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",,,,,Location: ChinaFluent Chinese language skills required for all positions.Pay based on experienceANDAdditional Requirements,No,Yes,No,No,No,No,No
React Developer,"Oct 01, 2020","Nov 15, 2020",Co-op,3,Nationwide United States,"College of Engineering, College of Science, D'Amore-McKim School of Business, Khoury College of Computer Sciences",Available,Software Development,Hourly/$27 to $33 (USD),Full Time (32+ Hours Per Week),"Remote work is permitted at any time, Primarily remote work",,,,,"React DeveloperYou will be building React UI components that will be used across the software, according to specifications provided by the project lead. In-depth experience with React is a requirement.We are a hybrid remote & in-person team, and therefore you must be comfortable working from home. We do hope to hire someone who is in Boston, though, so we can work together in person when necessary.We encourage you to learn more about the project and the company.ResponsibilitiesRequirementsOur Tech StackThe CompanyWe are Campfire Technology, a software company that creates tools for creative writers. The company was founded in 2018 by Northeastern student Jason Louro. Since then, it has grossedjust over $1M in revenue and grown toseven full-time employees, including multiple other Northeastern co-ops. We're a young, fun team that's very serious about building the best writing software in the world. Join us.https://www.campfiretechnology.com",No,Yes,No,Yes,No,Yes,Yes
Bioengineering/Mechanical Coop - Traverso Lab BWH/MIT,"Oct 06, 2020","Dec 31, 2020",Co-op,1,"Boston, Massachusetts United States","College of Engineering/Mechanical Engineering, College of Engineering/Chemical Engineering, College of Engineering/Bioengineering",Available,Engineering - Other,Hourly,Half Time (16-31 Hours Per Week),Primarily on-site work,,,,,"This position is 20 hours a week Biomedical device design and development Material characterization (biomaterials and plastics, experience with Instron testing machines a plus) Additive manufacturing/3D Printing (FDM and SLA) Subtractive manufacturing (manual and CNC machining) Plastic molding (extrusion, injection molding, and compression molding) Polymer science/polymer formulation",No,Yes,No,No,No,No,No
Digital Marketing Co-op,"Oct 20, 2020","Jan 01, 2021",Co-op,1,"Boston, Massachusetts United States","College of Arts, Media & Design, Bouve College of Health Sciences, College of Engineering, College of Professional Studies, College of Science, College of Social Science & Humanities, D'Amore-McKim School of Business, Khoury College of Computer Sciences",Available,Digital Marketing,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Remote work is permitted at any time",Accessible by public transportation,,"Cover Letter, Work Sample, Portfolio","Video, Video Editing, copy writing, Marketing, Social media management",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Marketing Intern,"Sep 22, 2020","Dec 18, 2020",Co-op,1,"Boston, Massachusetts United States","College of Arts, Media & Design/Journalism, College of Arts, Media & Design/Communication Studies, D'Amore-McKim School of Business/Marketing",Available,Writing & Editing,Unpaid,Half Time (16-31 Hours Per Week),Remote work is permitted at any time,,,,"Writing, Social Media, Marketing","Company ProfileWe are an exciting, revolutionary chem-tech start-up that has altered the smart textile technology. Our initial product is conductive/heated garments. Traditional smart textile/garments uses metallic wires or carbon prints to achieve conductivity in fabric. As these components are externally attached or integrated into the fabric structure, it renders the resulting garment bulky, inflexible and prone to wear and tear. Invented at UMass, Amherst, our patented and scalable vapor deposition application converts widely available commodity fabric into active joules heater by depositing layers of conductive coating without altering the feel or form of the fabric. ""Your clothes need to feel comfortable before they are smart"" is our goal in transforming the smart garment industry.What You'll Do:- Help with grant writing as and when possible- Attend management meetings and provide suggestions for operational excellence and continuous improvement.This position can be done part time or full time depending on the candidate's needs.",No,No,Yes,No,No,Yes,No
Backend Engineer,"Sep 18, 2020","Dec 31, 2020",Co-op,1,"Menlo Park, California United States","College of Engineering/Telecommunication Networks, College of Engineering/Information Systems, College of Engineering/Computer System Engineering, Khoury College of Computer Sciences/Computer Science",Available,Software Development,Unspecified,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",,,,,"About the CompanyRobinhood is democratizing finance for all. With customers at the heart of our decisions, Robinhood is lowering barriers, removing fees, and providing greater access to financial information. Together, we are building products and services that help create a financial system everyone can participate in.Robinhood is a fast-growing company and was recognized as a CNBC Disruptor 50 and a LinkedIn Top Startup in 2019. We’re continuing to grow and are looking for incredible talent that can help us achieve our mission.Robinhood is headquartered in Menlo Park, California, with offices in Lake Mary, Florida, Denver, Colorado, and London, UK.About the Role:As a Backend Engineer (Intern), you will be building and owning certain backend services and infrastructure that power our core financial products. You will also gain a unique look into how the US financial systems works on the inside and strengthen your financial-domain knowledge.Your day-to-day will involve:Some things we consider critical for this role:",No,Yes,No,No,No,No,Yes
Web Development Co-op,"Aug 24, 2020","Nov 30, 2020",Co-op,1,"Bedford, Massachusetts United States","Khoury College of Computer Sciences, Khoury College of Computer Sciences/Information Science, Khoury College of Computer Sciences/Information Assurance, Khoury College of Computer Sciences/Data Science, Khoury College of Computer Sciences/Cybersecurity, Khoury College of Computer Sciences/Computer Science",Available,Web Development,Hourly/$11 to $17 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work",Accessible by public transportation,Authorized to work in the U.S.,,"MongoDB, CSS, JavaScript, NodeJS, Git",The ideal co-op candidate will have:,No,No,No,No,No,No,Yes
Jefferies LLC Investment Banking Spring Co-Op 2021,"Oct 28, 2020","Nov 05, 2020",Co-op,1,"Boston, Massachusetts United States","College of Social Science & Humanities/Economics, D'Amore-McKim School of Business/Finance, D'Amore-McKim School of Business/Entrepreneurship and New Venture Management",Available,Finance - Investment Banking,Stipend,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,,"Cover Letter, Unofficial Transcript","Presentations, Analyst Briefings, Excel, Research, Finance, Communication, MS PowerPoint",Responsibilities:Requirements:How to Apply:,No,No,No,No,Yes,Yes,No
Administrative Specialist,"Oct 09, 2020","Dec 18, 2020",Co-op,1,"Boston, Massachusetts United States","College of Arts, Media & Design, College of Social Science & Humanities",Available,Administrative Support,Hourly/$11 to $17 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,,,,,No,No,Yes,No,Yes,No,No
